Time;Type;Volume;Symbol;Price;Volume;Time;Price;Commission;Swap;Profit
2026.08.11 09:48:00;Sell;0.02;XAUUSD;4366.17;0.02;2026.08.11 09:54:00;4362.94;-0.14;;6.46
2026.08.11 09:40:00;Sell;0.02;XAUUSD;4368.09;0.02;2026.08.11 09:45:00;4364.07;-0.14;;8.04
2026.08.11 09:37:00;Sell;0.02;XAUUSD;4365.4;0.02;2026.08.11 09:45:00;4365.09;-0.14;;0.62
2026.08.11 09:36:00;Sell;0.02;XAUUSD;4362.11;0.02;2026.08.11 09:45:00;4364.15;-0.14;;-4.08
2026.08.11 03:41:00;Buy;0.02;XAUUSD;4409.04;0.02;2026.08.11 03:45:00;4414.44;-0.14;;10.8
2026.08.11 03:39:00;Buy;0.02;XAUUSD;4410.86;0.02;2026.08.11 03:45:00;4414.19;-0.14;;6.66
2026.08.11 03:33:00;Buy;0.02;XAUUSD;4412.6;0.02;2026.08.11 03:45:00;4413.78;-0.14;;2.36
2026.08.11 03:30:00;Buy;0.02;XAUUSD;4414.2;0.02;2026.08.11 03:45:00;4414.19;-0.14;;-0.02
2026.08.11 03:15:00;Buy;0.02;XAUUSD;4405.46;0.02;2026.08.11 03:17:00;4407.45;-0.14;;3.98
2026.08.11 03:03:00;Buy;0.02;XAUUSD;4398.01;0.02;2026.08.11 03:04:00;4402.26;-0.14;;8.5
2026.08.11 03:02:00;Buy;0.02;XAUUSD;4399.88;0.02;2026.08.11 03:04:00;4402.3;-0.14;;4.84
2026.08.11 03:00:00;Buy;0.02;XAUUSD;4402.55;0.02;2026.08.11 03:04:00;4402.32;-0.14;;-0.46
2026.08.10 23:48:00;Buy;0.02;XAUUSD;4389.67;0.02;2026.08.11 01:07:00;4390.48;-0.14;-1.17;1.62
2026.08.10 22:50:00;Buy;0.02;XAUUSD;4393.99;0.02;2026.08.10 23:42:09;4391.09;-0.14;;-5.8
2026.08.10 22:56:00;Buy;0.02;XAUUSD;4390.27;0.02;2026.08.10 23:42:07;4391.09;-0.14;;1.6400000000000001
2026.08.10 23:08:00;Buy;0.02;XAUUSD;4387.06;0.02;2026.08.10 23:42:03;4391.09;-0.14;;8.06
2026.08.10 22:35:00;Buy;0.02;XAUUSD;4387.34;0.02;2026.08.10 22:49:00;4393.71;-0.14;;12.74
2026.08.10 22:30:00;Buy;0.02;XAUUSD;4391.08;0.02;2026.08.10 22:49:00;4393.94;-0.14;;5.72
2026.08.10 22:30:00;Buy;0.02;XAUUSD;4391.45;0.02;2026.08.10 22:31:00;4392.71;-0.14;;2.52
2026.08.10 22:30:00;Buy;0.02;XAUUSD;4390.94;0.02;2026.08.10 22:31:00;4392.87;-0.14;;3.86
2026.08.10 22:24:00;Buy;0.02;XAUUSD;4385.18;0.02;2026.08.10 22:25:00;4386.69;-0.14;;3.02
2026.08.10 22:06:00;Buy;0.02;XAUUSD;4382.47;0.02;2026.08.10 22:21:00;4383.45;-0.14;;1.96
2026.08.10 22:00:00;Buy;0.02;XAUUSD;4378.85;0.02;2026.08.10 22:01:00;4379.3;-0.14;;0.9
2026.08.06 03:45:00;Buy;0.02;XAUUSD;4286.92;0.02;2026.08.06 03:46:00;4290.67;-0.14;;7.5
